"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2007-2008",82,5212.21,3935,3832,103,50.66,45.3,44.11,197,184,13,51.71,2.27,2.12,196.05,208.2,-12.15,48.5,2.26,2.4,573,528,-45,8.79,92,100.79
"ANA","2008-2009",82,5136.28,4336,4279,57,50.33,50.65,49.99,238,235,3,50.32,2.78,2.75,224.86,223.4,1.46,50.16,2.63,2.61,543,465,-78,9.59,90.6,100.19
"ANA","2009-2010",82,5190.87,4363,4771,-408,47.77,50.43,55.15,233,243,-10,48.95,2.69,2.81,220,251.6,-31.6,46.65,2.54,2.91,479,460,-19,9.43,91.12,100.55
"ANA","2010-2011",82,5082.71,4093,5041,-948,44.81,48.32,59.51,235,233,2,50.21,2.77,2.75,202.35,237.49,-35.14,46.01,2.39,2.8,428,406,-22,10.07,91.2,101.27
"ANA","2011-2012",82,5135.89,4407,4588,-181,48.99,51.48,53.6,201,224,-23,47.29,2.35,2.62,214.03,229.33,-15.3,48.27,2.5,2.68,374,355,-19,8.77,90.53,99.3
"ANA","2012-2013",48,3071.29,2523,2743,-220,47.91,49.29,53.59,134,115,19,53.82,2.62,2.25,125.93,121.78,4.15,50.84,2.46,2.38,203,176,-27,9.95,91.42,101.37
"ANA","2013-2014",82,5125.88,4707,4678,29,50.15,55.1,54.76,263,203,60,56.44,3.08,2.38,249.36,219.77,29.59,53.15,2.92,2.57,362,375,13,10.24,91.38,101.61
"ANA","2014-2015",82,5197.24,4719,4522,197,51.07,54.48,52.2,228,221,7,50.78,2.63,2.55,232.17,214.29,17.88,52,2.68,2.47,356,320,-36,9.28,90.66,99.94
"ANA","2015-2016",82,5082.04,4738,4384,354,51.94,55.94,51.76,215,188,27,53.35,2.54,2.22,235.53,199.06,36.47,54.2,2.78,2.35,398,354,-44,8.65,91.68,100.33
"ANA","2016-2017",82,5069.78,4579,4659,-80,49.57,54.19,55.14,220,197,23,52.76,2.6,2.33,242.25,227.23,15.02,51.6,2.87,2.69,374,349,-25,9.07,91.89,100.96
"ANA","2017-2018",82,5002.3,4647,5086,-439,47.74,55.74,61,231,209,22,52.5,2.77,2.51,244.03,259.8,-15.77,48.43,2.93,3.12,347,287,-60,9.33,92.31,101.64
"ANA","2018-2019",81,4925.43,4322,4994,-672,46.39,52.65,60.84,195,246,-51,44.22,2.38,3,201.53,267.01,-65.48,43.01,2.45,3.25,321,259,-62,8.71,90.88,99.59
"ARI","2007-2008",82,5158.8,4394,4533,-139,49.22,51.1,52.72,209,225,-16,48.16,2.43,2.62,206.8,220.82,-14.02,48.36,2.41,2.57,441,446,5,8.36,91.06,99.42
"ARI","2008-2009",81,4991.35,4157,4808,-651,46.37,49.97,57.8,200,248,-48,44.64,2.4,2.98,191.08,212.29,-21.21,47.37,2.3,2.55,410,462,52,8.81,90.29,99.11
"ARI","2009-2010",82,5332.6,4575,4409,166,50.92,51.48,49.61,211,196,15,51.84,2.37,2.21,208.5,208.38,0.12,50.01,2.35,2.34,381,377,-4,8.43,91.92,100.35
"ARI","2010-2011",82,5160.5,4658,4826,-168,49.11,54.16,56.11,226,220,6,50.67,2.63,2.56,206.67,231.46,-24.79,47.17,2.4,2.69,371,357,-14,9.09,91.77,100.86
"ARI","2011-2012",82,5251.95,4609,4721,-112,49.4,52.65,53.93,210,194,16,51.98,2.4,2.22,208.54,225.09,-16.55,48.09,2.38,2.57,323,325,2,8.65,92.52,101.16
"ARI","2012-2013",48,3095.2,2780,2753,27,50.24,53.89,53.37,121,125,-4,49.19,2.35,2.42,121.35,130.39,-9.04,48.2,2.35,2.53,213,213,0,8.16,91.49,99.64
"ARI","2013-2014",82,5210.37,4704,4635,69,50.37,54.17,53.37,210,224,-14,48.39,2.42,2.58,202.26,226.83,-24.57,47.14,2.33,2.61,347,354,7,8.41,91.18,99.59
"ARI","2014-2015",82,5144.24,4618,5061,-443,47.71,53.86,59.03,165,267,-102,38.19,1.92,3.11,198.86,246.62,-47.76,44.64,2.32,2.88,345,297,-48,6.9,90.19,97.09
"ARI","2015-2016",82,4986.21,4357,4790,-433,47.63,52.43,57.64,208,244,-36,46.02,2.5,2.94,201.48,221.89,-20.41,47.59,2.42,2.67,397,379,-18,9.18,90.4,99.58
"ARI","2016-2017",82,5105.8,4285,5252,-967,44.93,50.35,61.72,191,258,-67,42.54,2.24,3.03,190.08,259.92,-69.84,42.24,2.23,3.05,332,298,-34,8.37,90.78,99.15
"ARI","2017-2018",82,4999.24,4788,5039,-251,48.72,57.46,60.48,206,251,-45,45.08,2.47,3.01,216.06,255.65,-39.59,45.8,2.59,3.07,282,302,20,8.41,90.5,98.91
"ARI","2018-2019",81,4920.35,4666,4807,-141,49.26,56.9,58.62,209,218,-9,48.95,2.55,2.66,222.59,229.47,-6.88,49.24,2.71,2.8,274,304,30,8.4,91.28,99.68
"ATL","2007-2008",82,5236.68,3652,4763,-1111,43.4,41.84,54.57,207,266,-59,43.76,2.37,3.05,195.7,239.33,-43.63,44.99,2.24,2.74,436,393,-43,9.79,90.44,100.23
"ATL","2008-2009",82,5101.48,4122,4727,-605,46.58,48.48,55.6,250,279,-29,47.26,2.94,3.28,215.74,242.44,-26.7,47.09,2.54,2.85,487,477,-10,10.84,89.6,100.44
"ATL","2009-2010",82,5137.99,4349,4671,-322,48.22,50.79,54.55,230,250,-20,47.92,2.69,2.92,201.81,245.63,-43.82,45.1,2.36,2.87,426,425,-1,9.54,90.8,100.34
"ATL","2010-2011",82,5192.81,4656,4849,-193,48.98,53.8,56.03,218,262,-44,45.42,2.52,3.03,212.37,242.64,-30.27,46.67,2.45,2.8,368,367,-1,8.45,90.07,98.51
"BOS","2007-2008",82,5111.44,4164,4208,-44,49.74,48.88,49.4,206,214,-8,49.05,2.42,2.51,209.25,321.74,-112.49,39.41,2.46,3.78,431,418,-13,8.85,91.38,100.23
"BOS","2008-2009",81,5076.88,4409,4365,44,50.25,52.11,51.59,267,188,79,58.68,3.16,2.22,216.83,210.89,5.94,50.69,2.56,2.49,406,418,12,10.85,92.46,103.32
"BOS","2009-2010",82,5317.41,4686,4210,476,52.68,52.88,47.5,196,191,5,50.65,2.21,2.16,208,196.65,11.35,51.4,2.35,2.22,372,363,-9,7.54,92.19,99.73
"BOS","2010-2011",82,5100.06,4923,4791,132,50.68,57.92,56.36,244,189,55,56.35,2.87,2.22,216.84,221.15,-4.31,49.51,2.55,2.6,388,390,2,9.05,92.96,102.01
"BOS","2011-2012",82,5168.86,4964,4335,629,53.38,57.62,50.32,260,199,61,56.64,3.02,2.31,220.36,189.1,31.26,53.82,2.56,2.2,380,369,-11,9.8,91.85,101.65
"BOS","2012-2013",48,3028.09,2929,2547,382,53.49,58.04,50.47,127,106,21,54.51,2.52,2.1,133.4,118.35,15.05,52.99,2.64,2.35,224,180,-44,8.16,92.29,100.44
"BOS","2013-2014",82,5113.79,4838,4278,560,53.07,56.76,50.19,258,171,87,60.14,3.03,2.01,218.93,187.41,31.52,53.88,2.57,2.2,355,319,-36,9.87,92.83,102.7
"BOS","2014-2015",82,5233.57,4817,4420,397,52.15,55.22,50.67,209,201,8,50.98,2.4,2.3,205.67,193.04,12.63,51.58,2.36,2.21,320,285,-35,8.21,91.79,100
"BOS","2015-2016",82,5068.53,4691,4712,-21,49.89,55.53,55.78,236,228,8,50.86,2.79,2.7,208.38,214.98,-6.6,49.22,2.47,2.54,367,321,-46,9.01,90.85,99.86
"BOS","2016-2017",82,5039.08,5014,4190,824,54.48,59.7,49.89,232,209,23,52.61,2.76,2.49,240.08,195.13,44.95,55.16,2.86,2.32,350,332,-18,8.53,90.49,99.01
"BOS","2017-2018",82,4982.33,4926,4405,521,52.79,59.32,53.05,267,211,56,55.86,3.22,2.54,243.34,210.48,32.86,53.62,2.93,2.53,315,324,9,9.88,91.21,101.09
"BOS","2018-2019",82,4983.53,4848,4376,472,52.56,58.37,52.69,257,212,45,54.8,3.09,2.55,226.95,217.77,9.18,51.03,2.73,2.62,323,331,8,9.59,91.23,100.81
"BUF","2007-2008",81,5104.38,4216,4181,35,50.21,49.56,49.15,245,232,13,51.36,2.88,2.73,220.05,198.66,21.39,52.55,2.59,2.34,421,455,34,10.11,89.86,99.97
"BUF","2008-2009",82,5190.98,4424,4611,-187,48.97,51.13,53.3,242,229,13,51.38,2.8,2.65,212.96,215.33,-2.37,49.72,2.46,2.49,448,467,19,9.65,91.11,100.76
"BUF","2009-2010",82,5141.67,4564,4541,23,50.13,53.26,52.99,231,201,30,53.47,2.7,2.35,222.5,221.64,0.86,50.1,2.6,2.59,381,398,17,8.93,92.19,101.12
"BUF","2010-2011",82,5089.07,4689,4690,-1,49.99,55.28,55.29,240,228,12,51.28,2.83,2.69,225.56,217.07,8.49,50.96,2.66,2.56,402,374,-28,8.92,90.93,99.85
"BUF","2011-2012",82,5220.67,4445,4617,-172,49.05,51.09,53.06,211,223,-12,48.62,2.42,2.56,201.32,218.97,-17.65,47.9,2.31,2.52,359,367,8,8.81,91.33,100.14
"BUF","2012-2013",48,3111.12,2405,2938,-533,45.01,46.38,56.66,118,139,-21,45.91,2.28,2.68,109.2,142.82,-33.62,43.33,2.11,2.75,243,230,-13,8.81,91.34,100.16
"BUF","2013-2014",82,5174.53,3924,5120,-1196,43.39,45.5,59.37,150,243,-93,38.17,1.74,2.82,178.65,245.53,-66.88,42.12,2.07,2.85,354,337,-17,6.95,91.37,98.32
"BUF","2014-2015",82,5184.99,3415,5572,-2157,38,39.52,64.48,153,269,-116,36.26,1.77,3.11,168.89,248.46,-79.57,40.47,1.95,2.88,339,304,-35,7.71,90.79,98.5
"BUF","2015-2016",82,5126.13,4325,4602,-277,48.45,50.62,53.87,199,215,-16,48.07,2.33,2.52,201.4,212.47,-11.07,48.66,2.36,2.49,294,326,32,8.23,91.44,99.67
"BUF","2016-2017",82,5104.84,4416,4942,-526,47.19,51.9,58.09,199,231,-32,46.28,2.34,2.72,207.78,233.1,-25.32,47.13,2.44,2.74,303,296,-7,7.99,91.8,99.78
"BUF","2017-2018",82,4974.03,4491,4750,-259,48.6,54.17,57.3,198,277,-79,41.68,2.39,3.34,206.18,243.18,-37,45.88,2.49,2.93,280,307,27,7.74,89.67,97.41
"BUF","2018-2019",82,4994.35,4688,4644,44,50.24,56.32,55.79,221,268,-47,45.19,2.66,3.22,219.7,238.02,-18.32,48,2.64,2.86,261,279,18,8.19,90.09,98.28
"CAR","2007-2008",82,5038.67,4882,4376,506,52.73,58.13,52.11,250,246,4,50.4,2.98,2.93,249.39,232.39,17,51.76,2.97,2.77,459,531,72,9.37,89.61,98.98
"CAR","2008-2009",82,5106.06,5028,4635,393,52.03,59.08,54.46,236,221,15,51.64,2.77,2.6,247.33,236.15,11.18,51.16,2.91,2.77,362,442,80,8.82,90.86,99.69
"CAR","2009-2010",81,5046.65,4570,4775,-205,48.9,54.33,56.77,224,249,-25,47.36,2.66,2.96,231.4,252.43,-21.03,47.83,2.75,3,396,406,10,9.44,90.18,99.62
"CAR","2010-2011",82,5108.46,4935,5083,-148,49.26,57.96,59.7,231,234,-3,49.68,2.71,2.75,232.94,260.78,-27.84,47.18,2.74,3.06,348,437,89,9.18,91.41,100.59
"CAR","2011-2012",82,5093.69,4745,4974,-229,48.82,55.89,58.59,212,237,-25,47.22,2.5,2.79,242.98,252.36,-9.38,49.05,2.86,2.97,332,380,48,8.49,91.07,99.56
"CAR","2012-2013",48,2927.08,2977,2828,149,51.28,61.02,57.97,127,159,-32,44.41,2.6,3.26,143.36,155.9,-12.54,47.9,2.94,3.2,213,213,0,8.22,89.73,97.95
"CAR","2013-2014",82,5069.15,4929,4694,235,51.22,58.34,55.56,205,226,-21,47.56,2.43,2.68,226.91,237.08,-10.17,48.9,2.69,2.81,300,337,37,8,91.09,99.1
"CAR","2014-2015",82,5177.33,4790,4280,510,52.81,55.51,49.6,183,219,-36,45.52,2.12,2.54,229.97,214.87,15.1,51.7,2.67,2.49,241,294,53,7.25,90.21,97.46
"CAR","2015-2016",82,5109.64,4679,4229,450,52.53,54.94,49.66,196,221,-25,47,2.3,2.6,226.31,219.89,6.42,50.72,2.66,2.58,256,290,34,8,90.23,98.23
"CAR","2016-2017",82,5128.09,4780,4362,418,52.29,55.93,51.04,212,230,-18,47.96,2.48,2.69,242.71,225.24,17.47,51.87,2.84,2.64,229,260,31,8.5,90.09,98.59
"CAR","2017-2018",82,4981.95,5318,4321,997,55.17,64.05,52.04,225,253,-28,47.07,2.71,3.05,267.75,220.42,47.33,54.85,3.22,2.65,229,273,44,8.09,89.32,97.41
"CAR","2018-2019",81,4894.67,5259,4302,957,55,64.47,52.73,241,220,21,52.28,2.95,2.7,295.55,226.42,69.13,56.62,3.62,2.78,287,299,12,8.66,90.49,99.16
"CBJ","2007-2008",82,5131.02,4175,3852,323,52.01,48.82,45.04,190,210,-20,47.5,2.22,2.46,202.42,179.16,23.26,53.05,2.37,2.1,518,491,-27,7.98,90.66,98.64
"CBJ","2008-2009",82,5204.65,4231,4130,101,50.6,48.78,47.61,220,223,-3,49.66,2.54,2.57,197.85,195.5,2.35,50.3,2.28,2.25,473,446,-27,9.28,90.22,99.5
"CBJ","2009-2010",81,5117.33,4015,4405,-390,47.68,47.08,51.65,211,249,-38,45.87,2.47,2.92,187.74,204.45,-16.71,47.87,2.2,2.4,433,404,-29,9.11,89.94,99.04
"CBJ","2010-2011",82,5206.54,4612,4424,188,51.04,53.15,50.98,210,250,-40,45.65,2.42,2.88,214.9,211.4,3.5,50.41,2.48,2.44,433,434,1,8.38,89.78,98.16
"CBJ","2011-2012",82,5108.74,4325,4402,-77,49.56,50.8,51.7,198,257,-59,43.52,2.33,3.02,207.06,200.04,7.02,50.86,2.43,2.35,383,433,50,8.07,89.87,97.94
"CBJ","2012-2013",48,3084.86,2416,2559,-143,48.56,46.99,49.77,115,115,0,50,2.24,2.24,104.56,114.24,-9.68,47.79,2.03,2.22,218,226,8,8.96,91.99,100.96
"CBJ","2013-2014",82,5081.75,4443,4424,19,50.11,52.46,52.23,225,214,11,51.25,2.66,2.53,208.69,195.3,13.39,51.66,2.46,2.31,369,364,-5,9.26,91.52,100.78
"CBJ","2014-2015",82,5163.11,4215,4747,-532,47.03,48.98,55.16,227,248,-21,47.79,2.64,2.88,210.67,236.98,-26.31,47.06,2.45,2.75,400,343,-57,9.59,90.96,100.55
"CBJ","2015-2016",82,5135.28,4358,4799,-441,47.59,50.92,56.07,213,248,-35,46.2,2.49,2.9,245.51,246.73,-1.22,49.88,2.87,2.88,386,352,-34,8.92,90.27,99.19
"CBJ","2016-2017",82,5029.67,4564,4644,-80,49.57,54.44,55.4,247,193,54,56.14,2.95,2.3,239.38,245.01,-5.63,49.42,2.86,2.92,305,302,-3,9.72,92.24,101.97
"CBJ","2017-2018",82,4995.44,4932,4700,232,51.2,59.24,56.45,236,226,10,51.08,2.83,2.71,248.78,248.16,0.62,50.06,2.99,2.98,253,273,20,8.55,91.2,99.75
"CBJ","2018-2019",81,4893.42,4519,4356,163,50.92,55.41,53.41,251,231,20,52.07,3.08,2.83,229.86,219.08,10.79,51.2,2.82,2.69,231,255,24,9.81,90.36,100.17
"CGY","2007-2008",82,5065.28,4243,3928,315,51.93,50.26,46.53,226,224,2,50.22,2.68,2.65,218.58,193.99,24.59,52.98,2.59,2.3,525,484,-41,9.76,90.41,100.17
"CGY","2008-2009",81,4975.19,4829,4106,723,54.05,58.24,49.52,248,242,6,50.61,2.99,2.92,230.26,217.94,12.32,51.37,2.78,2.63,489,495,6,9.5,89.93,99.42
"CGY","2009-2010",82,5129.92,4571,4400,171,50.95,53.46,51.46,201,203,-2,49.75,2.35,2.37,197.87,199.97,-2.1,49.74,2.31,2.34,431,391,-40,8.55,91.44,100
"CGY","2010-2011",82,5258.7,4742,4466,276,51.5,54.1,50.96,241,230,11,51.17,2.75,2.62,216.82,195.64,21.18,52.57,2.47,2.23,358,394,36,9.63,90.16,99.79
"CGY","2011-2012",82,5188.1,4203,4709,-506,47.16,48.61,54.46,199,217,-18,47.84,2.3,2.51,204.11,222.02,-17.91,47.9,2.36,2.57,359,346,-13,8.81,91.42,100.23
"CGY","2012-2013",48,2944.91,2439,2678,-239,47.66,49.69,54.56,128,157,-29,44.91,2.61,3.2,118.93,126.57,-7.64,48.44,2.42,2.58,199,198,-1,9.91,88.89,98.8
"CGY","2013-2014",82,5145.06,4243,4742,-499,47.22,49.48,55.3,202,238,-36,45.91,2.36,2.78,195.66,212.92,-17.26,47.89,2.28,2.48,323,332,9,9.19,89.86,99.04
"CGY","2014-2015",82,5095.95,4387,4995,-608,46.76,51.65,58.81,237,213,24,52.67,2.79,2.51,209.71,213.04,-3.33,49.61,2.47,2.51,258,326,68,10.52,91.1,101.62
"CGY","2015-2016",82,5048.23,4532,4702,-170,49.08,53.86,55.88,229,257,-28,47.12,2.72,3.05,220.51,230.51,-10,48.89,2.62,2.74,302,334,32,9.55,89.18,98.73
"CGY","2016-2017",82,5063.93,4497,4428,69,50.39,53.28,52.47,222,219,3,50.34,2.63,2.59,209.93,218.69,-8.76,48.98,2.49,2.59,380,354,-26,9.29,90.7,100
"CGY","2017-2018",82,4979.69,5333,4706,627,53.12,64.26,56.7,216,243,-27,47.06,2.6,2.93,264.94,244.76,20.18,51.98,3.19,2.95,362,360,-2,7.83,90.49,98.32
"CGY","2018-2019",81,4890.92,4924,4195,729,54,60.41,51.46,284,220,64,56.35,3.48,2.7,259.94,212.71,47.23,55,3.19,2.61,297,334,37,10.77,90.29,101.06
"CHI","2007-2008",81,5052.72,3720,3851,-131,49.13,44.17,45.73,234,230,4,50.43,2.78,2.73,191.81,203.08,-11.27,48.57,2.28,2.41,520,502,-18,10.31,90.09,100.4
"CHI","2008-2009",82,5159.16,4492,3857,635,53.8,52.24,44.86,260,209,51,55.44,3.02,2.43,221.77,208.19,13.58,51.58,2.58,2.42,440,474,34,9.69,91.08,100.77
"CHI","2009-2010",82,5237.55,4979,3866,1113,56.29,57.04,44.29,262,203,59,56.34,3,2.33,232.71,180.75,51.96,56.28,2.67,2.07,359,392,33,9.36,90.14,99.5
"CHI","2010-2011",82,5163.92,4726,4323,403,52.23,54.91,50.23,252,220,32,53.39,2.93,2.56,215.98,200.36,15.62,51.88,2.51,2.33,315,336,21,9.56,90.65,100.21
"CHI","2011-2012",82,5226.22,4694,4229,465,52.61,53.89,48.55,241,231,10,51.06,2.77,2.65,226.56,206.03,20.53,52.37,2.6,2.37,317,362,45,9.33,90.14,99.47
"CHI","2012-2013",48,3110.41,2686,2345,341,53.39,51.81,45.24,149,97,52,60.57,2.87,1.87,124.69,108.33,16.36,53.51,2.41,2.09,186,195,9,9.97,92.29,102.26
"CHI","2013-2014",82,5216.48,4906,4036,870,54.86,56.43,46.42,261,212,49,55.18,3,2.44,231.41,192.48,38.93,54.59,2.66,2.21,302,308,6,9.61,90.49,100.1
"CHI","2014-2015",82,5172.96,5109,4316,793,54.21,59.26,50.06,220,186,34,54.19,2.55,2.16,230.34,208.4,21.94,52.5,2.67,2.42,267,322,55,7.92,92.49,100.41
"CHI","2015-2016",82,5017.59,4591,4532,59,50.32,54.9,54.19,234,207,27,53.06,2.8,2.48,218.19,227.14,-8.95,49,2.61,2.72,277,306,29,9.37,91.81,101.18
"CHI","2016-2017",82,5054.98,4633,4652,-19,49.9,54.99,55.22,240,212,28,53.1,2.85,2.52,222.83,225.89,-3.06,49.66,2.64,2.68,255,275,20,9.57,91.76,101.33
"CHI","2017-2018",82,4966.29,5320,4836,484,52.38,64.27,58.43,228,254,-26,47.3,2.75,3.07,241.32,254.15,-12.83,48.71,2.92,3.07,281,324,43,8.16,90.58,98.74
"CHI","2018-2019",80,4856.93,4643,4761,-118,49.37,57.36,58.81,262,286,-24,47.81,3.24,3.53,223.19,276.29,-53.1,44.68,2.76,3.41,253,264,11,10.08,89.76,99.85
"COL","2007-2008",82,5138.19,3941,4212,-271,48.34,46.02,49.18,224,216,8,50.91,2.62,2.52,211.07,202.76,8.31,51,2.46,2.37,386,424,38,9.54,90.34,99.88
"COL","2008-2009",82,5184.11,4184,4709,-525,47.05,48.42,54.5,190,253,-63,42.89,2.2,2.93,194.96,213.47,-18.51,47.73,2.26,2.47,418,411,-7,8.05,89.35,97.41
"COL","2009-2010",82,5175.25,3994,4843,-849,45.2,46.31,56.15,237,228,9,50.97,2.75,2.64,209.18,222.99,-13.81,48.4,2.43,2.59,409,422,13,10.36,91.32,101.68
"COL","2010-2011",82,5095.01,4254,4816,-562,46.9,50.1,56.71,221,287,-66,43.5,2.6,3.38,210.39,232.24,-21.85,47.53,2.48,2.73,420,366,-54,9.23,89,98.23
"COL","2011-2012",82,5171.5,4683,4518,165,50.9,54.33,52.42,199,218,-19,47.72,2.31,2.53,206.27,213.95,-7.68,49.09,2.39,2.48,359,301,-58,7.7,91.02,98.72
"COL","2012-2013",48,2990.48,2583,2883,-300,47.26,51.82,57.84,114,150,-36,43.18,2.29,3.01,114.99,139.37,-24.38,45.21,2.31,2.8,234,185,-49,8.06,90.05,98.11
"COL","2013-2014",82,5136.83,4311,4943,-632,46.59,50.35,57.74,245,216,29,53.15,2.86,2.52,208.26,236.96,-28.7,46.78,2.43,2.77,328,330,2,10.12,91.93,102.05
"COL","2014-2015",82,5221.29,4087,5182,-1095,44.09,46.97,59.55,209,223,-14,48.38,2.4,2.56,189.78,249.37,-59.59,43.22,2.18,2.87,308,320,12,9.14,91.8,100.94
"COL","2015-2016",82,5018.47,4189,5105,-916,45.07,50.08,61.03,212,240,-28,46.9,2.53,2.87,193.35,242.38,-49.03,44.37,2.31,2.9,318,331,13,9.03,90.94,99.97
"COL","2016-2017",82,4998.8,4345,4586,-241,48.65,52.15,55.05,165,276,-111,37.41,1.98,3.31,191.29,226.17,-34.88,45.82,2.3,2.71,330,297,-33,7.16,89.4,96.56
"COL","2017-2018",82,4977.17,4505,5076,-571,47.02,54.31,61.19,255,236,19,51.93,3.07,2.84,204.05,233.97,-29.92,46.58,2.46,2.82,325,351,26,10.48,91.36,101.84
"COL","2018-2019",80,4866.33,4636,4744,-108,49.42,57.16,58.49,254,237,17,51.73,3.13,2.92,226.79,222.54,4.25,50.47,2.8,2.74,327,337,10,9.69,90.74,100.43
"DAL","2007-2008",82,5104.97,4055,3796,259,51.65,47.66,44.62,237,204,33,53.74,2.79,2.4,195.53,190.41,5.12,50.66,2.3,2.24,457,458,1,10.84,90.45,101.29
"DAL","2008-2009",82,5181.91,4331,4243,88,50.51,50.15,49.13,224,251,-27,47.16,2.59,2.91,206.55,211.96,-5.41,49.35,2.39,2.45,449,474,25,9.46,89.11,98.56
"DAL","2009-2010",81,5212.99,4546,4730,-184,49.01,52.32,54.44,226,241,-15,48.39,2.6,2.77,215.87,215.85,0.02,50,2.48,2.48,375,420,45,9.05,90.5,99.56
"DAL","2010-2011",82,5182.2,4440,4692,-252,48.62,51.41,54.32,222,226,-4,49.55,2.57,2.62,203.5,215.58,-12.08,48.56,2.36,2.5,400,431,31,9.78,90.97,100.76
"DAL","2011-2012",82,5153.03,4475,4785,-310,48.33,52.11,55.71,204,218,-14,48.34,2.38,2.54,186.23,218.01,-31.78,46.07,2.17,2.54,410,350,-60,8.81,91.37,100.19
"DAL","2012-2013",48,2951.09,2577,2790,-213,48.02,52.39,56.72,128,141,-13,47.58,2.6,2.87,121.89,143.34,-21.45,45.96,2.48,2.91,242,236,-6,10.15,90.53,100.68
"DAL","2013-2014",82,5126.31,4954,4746,208,51.07,57.98,55.55,231,222,9,50.99,2.7,2.6,249.99,237.31,12.68,51.3,2.93,2.78,357,384,27,8.89,91.09,99.98
